name,slug,description,is_active,sort_order
Fleurs CBD,fleurs-cbd,Découvrez toutes les fleurs CBD de notre boutique en ligne La Touche Verte.,true,1
Résines CBD,resines-cbd,Découvrez toutes les résines CBD de notre boutique en ligne La Touche Verte.,true,2
Huiles CBD,huiles-cbd,Découvrez toutes les huiles CBD de notre boutique en ligne La Touche Verte.,true,3
E-liquides CBD,e-liquides-cbd,Découvrez toutes les e-liquides CBD de notre boutique en ligne La Touche Verte.,true,4
Nouveautés,nouveautes,Découvrez les dernières nouveautés CBD de notre boutique en ligne La Touche Verte.,true,5
